"player_id","player_first_name","player_last_name","player_height_cm","player_weight_kg"
10415,"Matthew","Richardson",197,103
10362,"Richard","Taylor",173,76
10916,"Richard","Vandenberg",178,84
10219,"Mark","Richardson",196,99
10195,"Richard","Champion",186,94
11110,"Richard","Hadley",190,90
11126,"Adam","Richardson",194,102
11169,"Richard","Cole",186,97
11183,"Ted","Richards",192,94
11322,"Guy","Richards",201,95
11415,"Richard","Tambling",180,80
11537,"Richard","Douglas",181,79
11725,"Daniel","Rich",183,90
11912,"Cameron","Richardson",189,83
12213,"Xavier","Richards",196,93
12612,"Ed","Richards",185,87
10464,"Che","Cockatoo-Collins",181,85
10207,"Gavin","Wanganeen",181,83
10786,"Ben","Dixon",188,91
10879,"Stuart","Cochrane",189,88
11545,"Adam","Cockshell",198,98
11752,"Adam","Cockie",180,82
11915,"Charlie","Dixon",200,105
12251,"Derick","Wanganeen",176,75
12338,"Nakia","Cockatoo",186,92
12760,"Hugh","Dixon",195,98
10741,"Donald","Dickie",186,89
11558,"Brad","Dick",181,76
12050,"Tory","Dickson",184,90
12351,"Matthew","Dick",187,88