"day_of_week","id","first_name","surname","n","teams"
"Thu",43,"Kane","Johnson",1,"Richmond"
"Thu",55,"Clay","Sampson",1,"Richmond"
"Thu",78,"Matthew","Clarke",1,"St Kilda"
"Thu",163,"Ben","Harrison",1,"Richmond"
"Thu",171,"Aaron","Hamill",3,"St Kilda"
"Thu",237,"Aaron","James",1,"Richmond"
"Thu",269,"Clinton","King",2,"Richmond"
"Thu",399,"John","Rombotis",1,"Richmond"
"Thu",425,"Leon","Cameron",2,"Richmond"
"Thu",452,"Nathan","Brown",2,"Richmond"
"Thu",456,"Stephen","Powell",1,"St Kilda"
"Thu",593,"Adam","Houlihan",1,"Richmond"
"Thu",743,"Troy","Simmonds",3,"Richmond"
"Thu",854,"Cain","Ackland",3,"St Kilda"
"Thu",861,"Duncan","Kellaway",1,"Richmond"
"Thu",864,"Matthew","Rogers",2,"Richmond"
"Thu",865,"Matthew","Knights",2,"Richmond"
"Thu",866,"Mark","Merenda",1,"Richmond"
"Thu",868,"Brendon","Gale",1,"Richmond"
"Thu",869,"Wayne","Campbell",2,"Richmond"
"Thu",870,"Matthew","Richardson",3,"Richmond"
"Thu",873,"Nick","Daffy",1,"Richmond"
"Thu",876,"David","Bourke",1,"Richmond"
"Thu",883,"Jason","Torney",2,"Richmond"
"Thu",886,"Darren","Gaspar",2,"Richmond"
"Thu",890,"Joel","Bowden",4,"Richmond"
"Thu",897,"Brad","Ottens",2,"Richmond"
"Thu",899,"Andrew","Kellaway",2,"Richmond"
"Thu",901,"Greg","Tivendale",2,"Richmond"
"Thu",902,"Rory","Hilton",1,"Richmond"
"Thu",903,"Marc","Dragicevic",1,"Richmond"
"Thu",904,"Ray","Hall",1,"Richmond"
"Thu",909,"Ty","Zantuck",1,"Richmond"
"Thu",911,"Aaron","Fiora",4,"Richmond, St Kilda"
"Thu",913,"Ben","Holland",2,"Richmond"
"Thu",914,"Steven","Sziller",1,"Richmond"
"Thu",915,"Andrew","Krakouer",1,"Richmond"
"Thu",917,"Kayne","Pettifer",1,"Richmond"
"Thu",918,"Danny","Frawley",1,"St Kilda"
"Thu",921,"Justin","Peckett",1,"St Kilda"
"Thu",929,"Austinn","Jones",1,"St Kilda"
"Thu",930,"Robert","Harvey",4,"St Kilda"
"Thu",955,"Max","Hudghton",4,"St Kilda"
"Thu",957,"Andrew","Thompson",4,"St Kilda"
"Thu",966,"Lenny","Hayes",5,"St Kilda"
"Thu",967,"Steven","Baker",5,"St Kilda"
"Thu",971,"Troy","Schwarze",2,"St Kilda"
"Thu",974,"Jason","Blake",4,"St Kilda"
"Thu",975,"Brett","Voss",3,"St Kilda"
"Thu",976,"Fraser","Gehrig",4,"St Kilda"
"Thu",977,"Justin","Koschitzke",4,"St Kilda"
"Thu",978,"Stephen","Milne",5,"St Kilda"
"Thu",981,"Nick","Riewoldt",5,"St Kilda"
"Thu",990,"Tony","Lockett",1,"St Kilda"
"Thu",994,"Greg","Stafford",1,"Richmond"
"Thu",1051,"Ben","Cousins",2,"Richmond"
"Thu",1104,"David","Rodan",1,"Richmond"
"Thu",1114,"Jordan","McMahon",2,"Richmond"
"Thu",1116,"Graham","Polak",1,"Richmond"
"Thu",1123,"Shane","Birss",1,"St Kilda"
"Thu",1127,"Xavier","Clarke",2,"St Kilda"
"Thu",1128,"Mark","McGough",1,"St Kilda"
"Thu",1132,"Nick","Dal Santo",6,"St Kilda"
"Thu",1136,"Matt","Maguire",3,"St Kilda"
"Thu",1137,"Leigh","Montagna",4,"St Kilda"
"Thu",1149,"Brad","Miller",1,"Richmond"
"Thu",1150,"Chris","Newman",9,"Richmond"
"Thu",1214,"Allan","Murray",1,"St Kilda"
"Thu",1345,"Andrew","Manning",1,"St Kilda"
"Thu",1391,"Geoff","Cunningham",1,"St Kilda"
"Thu",1430,"Luke","Ball",2,"St Kilda"
"Thu",1432,"Adam","Schneider",1,"St Kilda"
"Thu",1443,"Brendon","Goddard",5,"St Kilda"
"Thu",1451,"Jay","Schulz",2,"Richmond"
"Thu",1462,"Jason","Gram",4,"St Kilda"
"Thu",1477,"Geoff","Ablett",1,"St Kilda"
"Thu",1509,"Kevin","Bartlett",1,"Richmond"
"Thu",1524,"John","Bennett",1,"St Kilda"
"Thu",1536,"Graeme","Bond",1,"Richmond"
"Thu",1539,"Francis","Bourke",1,"Richmond"
"Thu",1570,"Greg","Burns",1,"St Kilda"
"Thu",1603,"Dick","Clay",1,"Richmond"
"Thu",1638,"Max","Crow",1,"St Kilda"
"Thu",1640,"Phil","Cronan",1,"St Kilda"
"Thu",1735,"Silvio","Foschini",1,"St Kilda"
"Thu",1766,"Mike","Green",1,"Richmond"
"Thu",1877,"Peter","Kiel",1,"St Kilda"
"Thu",1899,"Michael","Roberts",1,"St Kilda"
"Thu",1932,"Robert","Mace",1,"St Kilda"
"Thu",2006,"Paul","Morwood",1,"St Kilda"
"Thu",2048,"Gary","Odgers",1,"St Kilda"
"Thu",2169,"Allan","Sidebottom",1,"St Kilda"
"Thu",2180,"Terry","Smith",1,"St Kilda"
"Thu",2295,"Cameron","Howat",1,"Richmond"
"Thu",2308,"Leigh","Fisher",1,"St Kilda"
"Thu",2343,"Roger","Dean",1,"Richmond"
"Thu",2414,"Barry","Richardson",1,"Richmond"
"Thu",2524,"Bill","Barrot",2,"Richmond"
"Thu",2580,"Michael","Bowden",1,"Richmond"
"Thu",2602,"Billy","Brown",1,"Richmond"
"Thu",2619,"Graham","Burgin",1,"Richmond"
"Thu",2640,"Barry","Cameron",1,"Richmond"
"Thu",2737,"Neville","Crowe",1,"Richmond"
"Thu",2908,"Graeme","Gahan",1,"Richmond"
"Thu",2973,"Dick","Grimmond",1,"Richmond"
"Thu",2980,"Paddy","Guinane",2,"Richmond"
"Thu",3027,"Ian","Hayden",1,"Richmond"
"Thu",3069,"Peter","Hogan",1,"Richmond"
"Thu",3115,"Graham","Jacobs",1,"Richmond"
"Thu",3290,"Frank","McCashney",1,"Richmond"
"Thu",3432,"John","Northey",1,"Richmond"
"Thu",3509,"Michael","Patterson",2,"Richmond"
"Thu",3529,"Mike","Perry",1,"Richmond"
"Thu",3586,"Alan","Richardson",1,"Richmond"
"Thu",3608,"John","Robertson",1,"Richmond"
"Thu",3675,"Roy","Selleck",1,"Richmond"
"Thu",3699,"Tom","Simpson",1,"Richmond"
"Thu",3760,"Fred","Swift",1,"Richmond"
"Thu",3777,"Vic","Thorp",1,"Richmond"
"Thu",3844,"Wayne","Walsh",1,"Richmond"
"Thu",3902,"Gary","Williamson",1,"Richmond"
"Thu",3962,"Troy","Chaplin",4,"Richmond"
"Thu",3974,"Farren","Ray",1,"St Kilda"
"Thu",3975,"Sam","Fisher",6,"St Kilda"
"Thu",3987,"Kelvin","Moore",3,"Richmond"
"Thu",4038,"Fergus","Watts",1,"St Kilda"
"Thu",4041,"Shane","Tuck",4,"Richmond"
"Thu",4044,"Daniel","Jackson",7,"Richmond"
"Thu",4057,"Andrew","Raines",2,"Richmond"
"Thu",4068,"Brett","Deledio",8,"Richmond"
"Thu",4073,"Sean","Dempster",2,"St Kilda"
"Thu",4081,"Jayden","Attard",1,"St Kilda"
"Thu",4091,"Richard","Tambling",3,"Richmond"
"Thu",4104,"Andrew","McQualter",3,"St Kilda"
"Thu",4108,"Adam","Pattison",1,"Richmond"
"Thu",4112,"Nathan","Foley",5,"Richmond"
"Thu",4120,"Adam","Thomson",1,"Richmond"
"Thu",4124,"Will","Thursfield",3,"Richmond"
"Thu",4138,"Mitch","Morton",3,"Richmond"
"Thu",4141,"Zac","Dawson",1,"St Kilda"
"Thu",4143,"James","Gwilt",1,"St Kilda"
"Thu",4144,"Patrick","Ryder",2,"St Kilda"
"Thu",4161,"Cleve","Hughes",1,"Richmond"
"Thu",4165,"Ivan","Maric",3,"Richmond"
"Thu",4172,"Luke","McGuane",4,"Richmond"
"Thu",4178,"Sam","Gilbert",2,"St Kilda"
"Thu",4185,"Matt","White",2,"Richmond"
"Thu",4188,"Michael","Rix",1,"St Kilda"
"Thu",4193,"Matt","Thomas",2,"Richmond"
"Thu",4253,"Ted","Hall",2,"St Kilda"
"Thu",4260,"Bill","Matthews",1,"St Kilda"
"Thu",4263,"Tom","McNamara",1,"St Kilda"
"Thu",4295,"Michael","OGorman",1,"St Kilda"
"Thu",4348,"Tim","Curran",1,"St Kilda"
"Thu",4361,"Dick","McCabe",2,"St Kilda"
"Thu",4367,"Arch","Muirhead",2,"St Kilda"
"Thu",4410,"Cecil","Sandford",2,"St Kilda"
"Thu",4419,"Tom","Blake",1,"St Kilda"
"Thu",4512,"Johnny","Dando",1,"St Kilda"
"Thu",4530,"Howard","Smith",2,"St Kilda"
"Thu",4531,"Andy","Stewart",2,"St Kilda"
"Thu",4555,"Val","Robertson",1,"St Kilda"
"Thu",4644,"Billy","McGregor",1,"St Kilda"
"Thu",4647,"Ralph","Robertson",1,"St Kilda"
"Thu",4648,"Jimmy","Smith",2,"St Kilda"
"Thu",4723,"Gordon","Allard",1,"St Kilda"
"Thu",4726,"Claude","Clough",2,"St Kilda"
"Thu",4730,"Bill","OHara",1,"St Kilda"
"Thu",4731,"Arthur","Pearce",2,"St Kilda"
"Thu",4732,"Arthur","Scott",1,"St Kilda"
"Thu",4735,"George","Sutherland",1,"St Kilda"
"Thu",4821,"Cec","Graeme",1,"St Kilda"
"Thu",4823,"Harry","Luck",1,"St Kilda"
"Thu",4829,"Bob","Rinder",1,"St Kilda"
"Thu",4831,"Gus","Robertson",1,"St Kilda"
"Thu",5043,"Len","Incigneri",1,"Richmond"
"Thu",5186,"Les","Abbott",1,"Richmond"
"Thu",5347,"George","Gibson",1,"Richmond"
"Thu",5535,"Tom","Heaney",1,"Richmond"
"Thu",5541,"Ted","Ohlson",1,"Richmond"
"Thu",5546,"Billy","Schmidt",1,"Richmond"
"Thu",5691,"Paddy","Bourke",1,"Richmond"
"Thu",5696,"Barney","Herbert",1,"Richmond"
"Thu",5698,"Hughie","James",1,"Richmond"
"Thu",5823,"Frank","Love",1,"Richmond"
"Thu",5825,"Percy","Maybury",1,"Richmond"
"Thu",5828,"Syd","Reeves",1,"Richmond"
"Thu",5940,"Matt","Incigneri",1,"Richmond"
"Thu",5942,"Johnny","MacGregor",1,"Richmond"
"Thu",5943,"Dave","Mahoney",1,"Richmond"
"Thu",5945,"Joe","Price",1,"Richmond"
"Thu",9841,"John","Thompson",1,"Richmond"
"Thu",9981,"John","Richmond",1,"Richmond"
"Thu",10044,"Brian","McMillan",1,"Richmond"
"Thu",10082,"Mick","Erwin",1,"Richmond"
"Thu",10100,"Rodney","Evans",1,"Richmond"
"Thu",10163,"Tony","Jewell",1,"Richmond"
"Thu",10309,"Eric","Moore",1,"Richmond"
"Thu",10375,"Kevin","Shinners",1,"Richmond"
"Thu",11100,"Peter","Melesso",1,"St Kilda"
"Thu",11255,"Frank","Carbone",1,"St Kilda"
"Thu",11258,"Greg","McAdam",1,"St Kilda"
"Thu",11554,"Clinton","Jones",2,"St Kilda"
"Thu",11557,"Shane","Edwards",21,"Richmond"
"Thu",11558,"Jake","King",3,"Richmond"
"Thu",11561,"Ricky","Petterd",2,"Richmond"
"Thu",11566,"Bachar","Houli",16,"Richmond"
"Thu",11570,"David","Armitage",2,"St Kilda"
"Thu",11576,"Jack","Riewoldt",22,"Richmond"
"Thu",11590,"Tom","Hislop",1,"Richmond"
"Thu",11594,"Shaun","Grigg",12,"Richmond"
"Thu",11604,"Daniel","Connors",2,"Richmond"
"Thu",11612,"Angus","Graham",1,"Richmond"
"Thu",11619,"Shaun","Hampson",3,"Richmond"
"Thu",11630,"Jarryn","Geary",3,"St Kilda"
"Thu",11666,"Trent","Cotchin",20,"Richmond"
"Thu",11682,"Ben","McEvoy",2,"St Kilda"
"Thu",11689,"Addam","Maric",1,"Richmond"
"Thu",11691,"Mitch","Farmer",1,"Richmond"
"Thu",11727,"Andrew","Browne",1,"Richmond"
"Thu",11733,"Alex","Rance",12,"Richmond"
"Thu",11734,"Robin","Nahas",4,"Richmond"
"Thu",11767,"Ty","Vickery",6,"Richmond"
"Thu",11775,"Jayden","Post",1,"Richmond"
"Thu",11783,"Dan","Hannebery",1,"St Kilda"
"Thu",11791,"Jack","Steven",2,"St Kilda"
"Thu",11794,"Dustin","Martin",21,"Richmond"
"Thu",11795,"Ben","Nason",1,"Richmond"
"Thu",11796,"Relton","Roberts",1,"Richmond"
"Thu",11828,"David","Astbury",16,"Richmond"
"Thu",11839,"Dylan","Roberton",1,"St Kilda"
"Thu",11847,"Rhys","Stanley",2,"St Kilda"
"Thu",11850,"Ben","Griffiths",7,"Richmond"
"Thu",11851,"Taylor","Hunt",2,"Richmond"
"Thu",11857,"Trent","Dennis-Lane",1,"St Kilda"
"Thu",11871,"Jake","Carlisle",2,"St Kilda"
"Thu",11879,"Dylan","Grimes",19,"Richmond"
"Thu",11888,"Reece","Conca",11,"Richmond"
"Thu",11889,"Jake","Batchelor",3,"Richmond"
"Thu",11890,"Brad","Helbig",1,"Richmond"
"Thu",11917,"Dion","Prestia",11,"Richmond"
"Thu",11922,"Maverick","Weller",2,"Richmond"
"Thu",11926,"Alistair","Smith",1,"St Kilda"
"Thu",11944,"Nathan","Gordon",2,"Richmond"
"Thu",11948,"Tom","Lynch",8,"Richmond"
"Thu",12010,"Josh","Caddy",10,"Richmond"
"Thu",12023,"Jacob","Townsend",3,"Richmond"
"Thu",12033,"Steven","Morris",6,"Richmond"
"Thu",12034,"Brandon","Ellis",13,"Richmond"
"Thu",12059,"Anthony","Miles",2,"Richmond"
"Thu",12060,"Bradley","Hill",3,"St Kilda"
"Thu",12070,"Ahmed","Saad",1,"St Kilda"
"Thu",12132,"Sebastian","Ross",3,"St Kilda"
"Thu",12160,"Nathan","Wright",1,"St Kilda"
"Thu",12161,"Tom","Lee",1,"St Kilda"
"Thu",12171,"Josh","Saunders",1,"St Kilda"
"Thu",12172,"Brodie","Murdoch",1,"St Kilda"
"Thu",12174,"Nick","Vlastuin",17,"Richmond"
"Thu",12184,"Dean","Kent",3,"St Kilda"
"Thu",12211,"Matt","Arnot",1,"Richmond"
"Thu",12249,"Jack","Billings",3,"St Kilda"
"Thu",12263,"Sam","Lloyd",4,"Richmond"
"Thu",12279,"Ben","Lennon",1,"Richmond"
"Thu",12288,"Zak","Jones",2,"St Kilda"
"Thu",12300,"Tim","Membrey",3,"St Kilda"
"Thu",12317,"Kamdyn","McIntosh",11,"Richmond"
"Thu",12324,"Jack","Lonie",2,"St Kilda"
"Thu",12325,"Jack","Sinclair",2,"St Kilda"
"Thu",12333,"Kane","Lambert",13,"Richmond"
"Thu",12346,"Corey","Ellis",3,"Richmond"
"Thu",12356,"Connor","Menadue",2,"Richmond"
"Thu",12368,"Jack","Steele",3,"St Kilda"
"Thu",12374,"Toby","Nankervis",11,"Richmond"
"Thu",12386,"Jonathon","Marsh",1,"St Kilda"
"Thu",12403,"Daniel","Rioli",13,"Richmond"
"Thu",12415,"Jade","Gresham",2,"St Kilda"
"Thu",12418,"Jayden","Short",12,"Richmond"
"Thu",12420,"Dougal","Howard",3,"St Kilda"
"Thu",12431,"Jason","Castagna",13,"Richmond"
"Thu",12456,"Nathan","Broad",9,"Richmond"
"Thu",12459,"Oleg","Markov",2,"Richmond"
"Thu",12485,"Mabior","Chol",1,"Richmond"
"Thu",12490,"Dan","Butler",11,"Richmond, St Kilda"
"Thu",12521,"Ben","Long",3,"St Kilda"
"Thu",12529,"Ivan","Soldo",4,"Richmond"
"Thu",12535,"Shai","Bolton",7,"Richmond"
"Thu",12558,"Josh","Battle",3,"St Kilda"
"Thu",12564,"Rowan","Marshall",3,"St Kilda"
"Thu",12576,"Jack","Graham",12,"Richmond"
"Thu",12591,"Hunter","Clark",3,"St Kilda"
"Thu",12608,"Nick","Coffield",3,"St Kilda"
"Thu",12609,"Jack","Higgins",7,"Richmond"
"Thu",12630,"Ed","Phillips",1,"St Kilda"
"Thu",12647,"Ryan","Garthwaite",1,"Richmond"
"Thu",12661,"Liam","Baker",5,"Richmond"
"Thu",12671,"Ben","Paton",3,"St Kilda"
"Thu",12686,"Noah","Balta",4,"Richmond"
"Thu",12703,"Callum","Wilkie",3,"St Kilda"
"Thu",12708,"Sydney","Stack",4,"Richmond"
"Thu",12712,"Jack","Ross",2,"Richmond"
"Thu",12733,"Patrick","Naish",1,"Richmond"
"Thu",12734,"Nick","Hind",2,"St Kilda"
"Thu",12761,"Marlion","Pickett",5,"Richmond"
"Thu",12773,"Max","King",3,"St Kilda"
"Thu",12790,"Jake","Aarts",2,"Richmond"
"Thu",12835,"Thomson","Dow",1,"Richmond"
"Thu",15004,"Alfred","Richardson",1,"St Kilda"
